============================================================
JMdict Multilingual Import
============================================================
Source: data/JMdict_e
Target: data/dictionary_full_multilingual.sqlite

Creating database: data/dictionary_full_multilingual.sqlite
Parsing XML: data/JMdict_e
Imported 124000 entries, 149801 senses (CN-simp: 0, CN-trad: 0)...
Imported 125000 entries, 150814 senses (CN-simp: 0, CN-trad: 0)...
Imported 126000 entries, 151817 senses (CN-simp: 0, CN-trad: 0)...
Imported 127000 entries, 152825 senses (CN-simp: 0, CN-trad: 0)...
Imported 128000 entries, 153894 senses (CN-simp: 0, CN-trad: 0)...
Imported 129000 entries, 155069 senses (CN-simp: 0, CN-trad: 0)...
Imported 130000 entries, 156178 senses (CN-simp: 0, CN-trad: 0)...
Imported 131000 entries, 157279 senses (CN-simp: 0, CN-trad: 0)...
Imported 132000 entries, 158326 senses (CN-simp: 0, CN-trad: 0)...
Imported 133000 entries, 159435 senses (CN-simp: 0, CN-trad: 0)...
Imported 134000 entries, 160488 senses (CN-simp: 0, CN-trad: 0)...
Imported 135000 entries, 161535 senses (CN-simp: 0, CN-trad: 0)...
Imported 136000 entries, 162556 senses (CN-simp: 0, CN-trad: 0)...
Imported 137000 entries, 163573 senses (CN-simp: 0, CN-trad: 0)...
Imported 138000 entries, 164624 senses (CN-simp: 0, CN-trad: 0)...
Imported 139000 entries, 165716 senses (CN-simp: 0, CN-trad: 0)...
Imported 140000 entries, 166866 senses (CN-simp: 0, CN-trad: 0)...
Imported 141000 entries, 167927 senses (CN-simp: 0, CN-trad: 0)...
Imported 142000 entries, 168960 senses (CN-simp: 0, CN-trad: 0)...
Imported 143000 entries, 170049 senses (CN-simp: 0, CN-trad: 0)...
Imported 144000 entries, 171191 senses (CN-simp: 0, CN-trad: 0)...
Imported 145000 entries, 172330 senses (CN-simp: 0, CN-trad: 0)...
Imported 146000 entries, 173526 senses (CN-simp: 0, CN-trad: 0)...
Imported 147000 entries, 174626 senses (CN-simp: 0, CN-trad: 0)...
Imported 148000 entries, 175723 senses (CN-simp: 0, CN-trad: 0)...
Imported 149000 entries, 176799 senses (CN-simp: 0, CN-trad: 0)...
Imported 150000 entries, 177857 senses (CN-simp: 0, CN-trad: 0)...
Imported 151000 entries, 178963 senses (CN-simp: 0, CN-trad: 0)...
Imported 152000 entries, 180058 senses (CN-simp: 0, CN-trad: 0)...
Imported 153000 entries, 181145 senses (CN-simp: 0, CN-trad: 0)...
Imported 154000 entries, 182213 senses (CN-simp: 0, CN-trad: 0)...
Imported 155000 entries, 183314 senses (CN-simp: 0, CN-trad: 0)...
Imported 156000 entries, 184372 senses (CN-simp: 0, CN-trad: 0)...
Imported 157000 entries, 185494 senses (CN-simp: 0, CN-trad: 0)...
Imported 158000 entries, 186601 senses (CN-simp: 0, CN-trad: 0)...
Imported 159000 entries, 187729 senses (CN-simp: 0, CN-trad: 0)...
Imported 160000 entries, 188838 senses (CN-simp: 0, CN-trad: 0)...
